File.accession	File.format	Output.type	Experiment.accession	Assay	Biosample.term.id	Biosample.term.name	Biosample.type	Biosample.organism	Biosample.treatments	Biosample.treatments.amount	Biosample.treatments.duration	Experiment.target	Library.made.from	Library.depleted.in	Library.extraction.method	Library.lysis.method	Library.crosslinking.method	Library.strand.specific	Experiment.date.released	Project	RBNS.protein.concentration	Library.fragmentation.method	Library.size.range	Biological.replicate.s.	Technical.replicate	Read.length	Mapped.read.length	Run.type	Paired.end	Paired.with	Derived.from	Size	Lab	md5sum	dbxrefs	File.download.URL	Assembly	Platform	Controlled.by	File.Status	Restricted	Audit.WARNING	Audit.INTERNAL_ACTION	Audit.NOT_COMPLIANT	Audit.ERROR
ENCFF662YQK	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FAY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		30.0 minute	POLR2A-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF368DTT, ENCFF502ZBE, ENCFF573ZMO	329502	ENCODE Processing Pipeline	f8f090e562e1e4b21badd0f06731c1e1		https://www.encodeproject.org/files/ENCFF662YQK/@@download/ENCFF662YQK.bed.gz	hg19			released	NA	control low read depth, mixed read lengths	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF985TSH	bed narrowPeak	optimal idr thresholded peaks	ENCSR815ZDS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SREBF1-human	DNA					False	2014-07-07	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF554XAI, ENCFF716GBZ, ENCFF826WTJ	53139	ENCODE Processing Pipeline	5d034408cc2d73bb6d706caeaaeeb6ae		https://www.encodeproject.org/files/ENCFF985TSH/@@download/ENCFF985TSH.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, antibody characterized with exemption, low read length			
ENCFF622RBW	bed narrowPeak	optimal idr thresholded peaks	ENCSR157TCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SMARCE1-human	DNA					False	2016-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF118OEM, ENCFF216OFC, ENCFF704QCS	630202	ENCODE Processing Pipeline	5f057957225cf1e6e0f6ab38a3f8c7fd		https://www.encodeproject.org/files/ENCFF622RBW/@@download/ENCFF622RBW.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF682SIY	bed narrowPeak	optimal idr thresholded peaks	ENCSR423FCW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RBM14-human	DNA			SDS	formaldehyde	False	2018-01-22	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF713DPH, ENCFF730DRK, ENCFF871OPM	47832	ENCODE Processing Pipeline	5152e507af06d10f533a3a84de25302f		https://www.encodeproject.org/files/ENCFF682SIY/@@download/ENCFF682SIY.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, moderate library complexity, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	insufficient read depth	
ENCFF883WYX	bed narrowPeak	optimal idr thresholded peaks	ENCSR177DNR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				FIP1L1-human	DNA			SDS	formaldehyde	False	2018-01-16	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF255AOS, ENCFF272ULK, ENCFF341OFU	183001	ENCODE Processing Pipeline	eb13fa4a3357a71054dc9cd775fd98d3		https://www.encodeproject.org/files/ENCFF883WYX/@@download/ENCFF883WYX.bed.gz	hg19			released	NA	low read depth, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF002CEL	bed narrowPeak	optimal idr thresholded peaks	ENCSR000AKO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2011-02-10	ENCODE	NA	NA	NA		NA	NA	NA		NA			1231983	ENCODE Consortium Analysis Working Group	7ddb20610be6d90b16f37e167c79f019		https://www.encodeproject.org/files/ENCFF002CEL/@@download/ENCFF002CEL.bed.gz	hg19			released	NA	control low read depth, low read length, mixed read lengths, inconsistent platforms, mild to moderate bottlenecking	missing derived_from	insufficient read depth	
ENCFF666LZV	bed narrowPeak	optimal idr thresholded peaks	ENCSR177XCS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				BRD9-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF155ELE, ENCFF794YNX, ENCFF827TVA	288183	ENCODE Processing Pipeline	26b2fd0f0f7be3a533a5d97eef32e3d3		https://www.encodeproject.org/files/ENCFF666LZV/@@download/ENCFF666LZV.bed.gz	hg19			released	NA	low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF328XKC	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BMH	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				YY1-human	DNA		see document	see document		False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF223XFI, ENCFF701OSU, ENCFF720DVS	497639	ENCODE Processing Pipeline	01d30b98e8410f018839a27847bfd7fc		https://www.encodeproject.org/files/ENCFF328XKC/@@download/ENCFF328XKC.bed.gz	hg19			released	NA	control low read depth, low read depth, moderate library complexity, low read length, mild to moderate bottlenecking	biological replicates with identical biosample	insufficient read depth, insufficient replicate concordance	
ENCFF722XRW	bed narrowPeak	optimal idr thresholded peaks	ENCSR268QIQ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SRSF3-human	DNA			SDS	formaldehyde	False	2016-10-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF351RVX, ENCFF660YKV, ENCFF855KUE	35897	ENCODE Processing Pipeline	66fd79ad483e886447bda38002301cf8		https://www.encodeproject.org/files/ENCFF722XRW/@@download/ENCFF722XRW.bed.gz	hg19			released	NA	borderline replicate concordance, moderate library complexity, low read length, mild to moderate bottlenecking	experiment not submitted to GEO	insufficient read depth	
ENCFF833KXP	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DJZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-HDAC8-human	DNA		see document	see document		False	2011-06-03	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF011ZRR, ENCFF547GIJ, ENCFF835SWC	43873	ENCODE Processing Pipeline	215555097926bb12b0154429fa63d0fe		https://www.encodeproject.org/files/ENCFF833KXP/@@download/ENCFF833KXP.bed.gz	hg19			released	NA	missing genetic modification characterization, low read depth, low read length		insufficient replicate concordance	
ENCFF774QKS	bed narrowPeak	optimal idr thresholded peaks	ENCSR219BXP	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				DPF2-human	DNA					False	2017-11-14	ENCODE	NA	NA	NA	1, 3	NA	NA	NA		NA		ENCFF001TDO, ENCFF209OUR, ENCFF400FLC, ENCFF403MEX	479386	ENCODE Processing Pipeline	cc53d3d9760a5e427276184bfc555bbe		https://www.encodeproject.org/files/ENCFF774QKS/@@download/ENCFF774QKS.bed.gz	hg19			released	NA	borderline replicate concordance	experiment not submitted to GEO		
ENCFF925DJG	bed narrowPeak	optimal idr thresholded peaks	ENCSR953DVM	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				E2F8-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF133EYO, ENCFF696BJA, ENCFF904YUH	199330	ENCODE Processing Pipeline	a54bfc70ca37fae47890b441013320dd		https://www.encodeproject.org/files/ENCFF925DJG/@@download/ENCFF925DJG.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF577UJR	bed narrowPeak	optimal idr thresholded peaks	ENCSR000BNV	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MEF2A-human	DNA		see document	see document		False	2011-07-18	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF307TQZ, ENCFF435ESC, ENCFF825VQR	22863	ENCODE Processing Pipeline	5e9c735464c7e63dba6ce09405a9eec0		https://www.encodeproject.org/files/ENCFF577UJR/@@download/ENCFF577UJR.bed.gz	hg19			released	NA	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking	biological replicates with identical biosample	control insufficient read depth	
ENCFF478MPX	bed narrowPeak	optimal idr thresholded peaks	ENCSR072VUO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SAFB-human	DNA			SDS	formaldehyde	False	2017-12-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF297NXF, ENCFF415VFS, ENCFF677EHH	103463	ENCODE Processing Pipeline	9fb7ae5d6f5c3136f59945fe5c9a510c		https://www.encodeproject.org/files/ENCFF478MPX/@@download/ENCFF478MPX.bed.gz	hg19			released	NA	borderline replicate concordance, low read depth, low read length	experiment not submitted to GEO		
ENCFF002DBD	bed narrowPeak	optimal idr thresholded peaks	ENCSR000DMA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CTCF-human	DNA		see document	see document		False	2012-08-27	ENCODE	NA	NA	NA		NA	NA	NA		NA			1077102	ENCODE Consortium Analysis Working Group	691e48b1344e23067ee35e35c640d364		https://www.encodeproject.org/files/ENCFF002DBD/@@download/ENCFF002DBD.bed.gz	hg19			released	NA		biological replicates with identical biosample, missing derived_from	insufficient read length, insufficient read depth	extremely low read depth
ENCFF019PEL	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EFU	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ELK1-human	DNA		see document	see document		False	2012-08-20	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF324CAS, ENCFF390VNW, ENCFF670YGF	72723	ENCODE Processing Pipeline	6bef1c87b6be232eb240e302cc14670d		https://www.encodeproject.org/files/ENCFF019PEL/@@download/ENCFF019PEL.bed.gz	hg19			released	NA	inconsistent target of control experiment, low read depth, low read length	biological replicates with identical biosample, duplicate lane review		
ENCFF257RYT	bed narrowPeak	optimal idr thresholded peaks	ENCSR647ZXA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-MEF2D-human	DNA					False	2016-08-24	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF170VIW, ENCFF345KFF, ENCFF369MAB	270622	ENCODE Processing Pipeline	7e3090a199e6b19be857acc869c561a1		https://www.encodeproject.org/files/ENCFF257RYT/@@download/ENCFF257RYT.bed.gz	hg19			released	NA	missing genetic modification characterization, low read depth			
ENCFF521CRG	bed narrowPeak	optimal idr thresholded peaks	ENCSR776CYN	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZFP36-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF233END, ENCFF688ELV, ENCFF734ODE	361453	ENCODE Processing Pipeline	8905c7dc4614bdddbe70d643dae0973b		https://www.encodeproject.org/files/ENCFF521CRG/@@download/ENCFF521CRG.bed.gz	hg19			released	NA	low read depth, low read length	experiment not submitted to GEO	partially characterized antibody	
ENCFF137IBM	bed narrowPeak	optimal idr thresholded peaks	ENCSR814AJH	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				SRSF9-human	DNA			SDS	formaldehyde	False	2017-12-01	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF169ZKI, ENCFF222MCF, ENCFF690XME	533	ENCODE Processing Pipeline	3da69747c2c7e765084cfddb90f40a51		https://www.encodeproject.org/files/ENCFF137IBM/@@download/ENCFF137IBM.bed.gz	hg19			released	NA	low read depth, low read length	experiment not submitted to GEO		
ENCFF597DIY	bed narrowPeak	optimal idr thresholded peaks	ENCSR907JPB	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZMIZ1-human	DNA					False	2016-08-24	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF041EID, ENCFF248AZH, ENCFF469ORR	20168	ENCODE Processing Pipeline	23fbea40b5d67edb1d62e497fbf80945		https://www.encodeproject.org/files/ENCFF597DIY/@@download/ENCFF597DIY.bed.gz	hg19			released	NA	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF944GZI	bed narrowPeak	optimal idr thresholded peaks	ENCSR669NFS	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARNT-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	3, 4	NA	NA	NA		NA		ENCFF001TDO, ENCFF286UPH, ENCFF333QJD, ENCFF968TKP	115274	ENCODE Processing Pipeline	047a545f5de7e170d1e06e9dfe3ee10a		https://www.encodeproject.org/files/ENCFF944GZI/@@download/ENCFF944GZI.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF993GXU	bed narrowPeak	optimal idr thresholded peaks	ENCSR697YLJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CBFA2T3-human	DNA					False	2017-09-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF120JHT, ENCFF854ZPL, ENCFF885YBC	940121	ENCODE Processing Pipeline	158d4fa23243d6d4e9f368b4106740cd		https://www.encodeproject.org/files/ENCFF993GXU/@@download/ENCFF993GXU.bed.gz	hg19			released	NA				
ENCFF998YJY	bed narrowPeak	optimal idr thresholded peaks	ENCSR563LLO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				E2F1-human	DNA					False	2016-07-08	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF159RHZ, ENCFF218RJK, ENCFF710KKZ	145663	ENCODE Processing Pipeline	167456f68af8d185c73af8324361f14e		https://www.encodeproject.org/files/ENCFF998YJY/@@download/ENCFF998YJY.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF366UBB	bed narrowPeak	optimal idr thresholded peaks	ENCSR798ILC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NCOR1-human	DNA					False	2016-11-30	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF649STG, ENCFF733BAD, ENCFF810EAC	523344	ENCODE Processing Pipeline	b70248917b378e34aa1952f19b956f77		https://www.encodeproject.org/files/ENCFF366UBB/@@download/ENCFF366UBB.bed.gz	hg19			released	NA	low read depth			
ENCFF237UAN	bed narrowPeak	optimal idr thresholded peaks	ENCSR041AXL	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				RFX1-human	DNA					False	2016-06-23	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF008XTO, ENCFF811RGP, ENCFF830YCS	297362	ENCODE Processing Pipeline	cf2d85601c8811ad39574a73908395c8		https://www.encodeproject.org/files/ENCFF237UAN/@@download/ENCFF237UAN.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF714VIT	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FAT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens	interferon alpha		30.0 minute	STAT2-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF054VTQ, ENCFF395EZO, ENCFF926XFR	66698	ENCODE Processing Pipeline	6941bc52652563547e46896535a4debe		https://www.encodeproject.org/files/ENCFF714VIT/@@download/ENCFF714VIT.bed.gz	hg19			released	NA	control low read depth	biological replicates with identical biosample	insufficient read length, insufficient read depth	
ENCFF872JJJ	bed narrowPeak	optimal idr thresholded peaks	ENCSR325RLL	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				POLR2B-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF230UQS, ENCFF255HKN, ENCFF729LTY	333967	ENCODE Processing Pipeline	4fa731cb3c8d39c1c5bd2b21cd149768		https://www.encodeproject.org/files/ENCFF872JJJ/@@download/ENCFF872JJJ.bed.gz	hg19			released	NA	low read depth	experiment not submitted to GEO	partially characterized antibody	
ENCFF492GXZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR508DQA	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				FOXK2-human	DNA					False	2016-04-22	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF158PJI, ENCFF188GHO, ENCFF451DBC	368132	ENCODE Processing Pipeline	78f64e4354c002e60b1ba43e77ebe73c		https://www.encodeproject.org/files/ENCFF492GXZ/@@download/ENCFF492GXZ.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking			
ENCFF253FZN	bed narrowPeak	optimal idr thresholded peaks	ENCSR160QYK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				GATAD2A-human	DNA					False	2017-09-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF091SVZ, ENCFF618ORM, ENCFF797ZNP	283170	ENCODE Processing Pipeline	3cc7e08b654255b1a17d4805f8bf51d1		https://www.encodeproject.org/files/ENCFF253FZN/@@download/ENCFF253FZN.bed.gz	hg19			released	NA				
ENCFF248VHN	bed narrowPeak	optimal idr thresholded peaks	ENCSR302AWT	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				FOXK2-human	DNA					False	2016-06-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF037YFB, ENCFF203SUN, ENCFF732HYH	358492	ENCODE Processing Pipeline	6617b946d9b9a9e353cf71f681323126		https://www.encodeproject.org/files/ENCFF248VHN/@@download/ENCFF248VHN.bed.gz	hg19			released	NA	low read depth			
ENCFF507MGL	bed narrowPeak	optimal idr thresholded peaks	ENCSR155KHM	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ARNT-human	DNA					False	2016-04-21	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF011UZZ, ENCFF071HZE, ENCFF652WXC	214239	ENCODE Processing Pipeline	5840c9b0b65a89375f82d3cdf94ec1f5		https://www.encodeproject.org/files/ENCFF507MGL/@@download/ENCFF507MGL.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF701NVT	bed narrowPeak	optimal idr thresholded peaks	ENCSR931HNY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				NCOA1-human	DNA					False	2016-06-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF428HHR, ENCFF633IWB, ENCFF786SHU	243759	ENCODE Processing Pipeline	2d4ce296af6dc930e1ec43681398c171		https://www.encodeproject.org/files/ENCFF701NVT/@@download/ENCFF701NVT.bed.gz	hg19			released	NA	low read depth			
ENCFF392MUM	bed narrowPeak	optimal idr thresholded peaks	ENCSR502OEK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ELF1-human	DNA					False	2016-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF725PEY, ENCFF813JVU, ENCFF883ZAE	271048	ENCODE Processing Pipeline	feec5c83ee0073bfeead5b1f269e553f		https://www.encodeproject.org/files/ENCFF392MUM/@@download/ENCFF392MUM.bed.gz	hg19			released	NA	antibody characterized with exemption, low read depth			
ENCFF859FVX	bed narrowPeak	optimal idr thresholded peaks	ENCSR065XVO	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CHAMP1-human	DNA					False	2016-09-20	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF069GYB, ENCFF216MFC, ENCFF869KQW	270063	ENCODE Processing Pipeline	49b2fe762e83e323d77be75057dea680		https://www.encodeproject.org/files/ENCFF859FVX/@@download/ENCFF859FVX.bed.gz	hg19			released	NA	mild to moderate bottlenecking			
ENCFF901AHW	bed narrowPeak	optimal idr thresholded peaks	ENCSR851XLW	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF830-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF263GIU, ENCFF350ETZ, ENCFF551KDQ	22828	ENCODE Processing Pipeline	93c38af1d8e55bb2b54ec7fbc84d696c		https://www.encodeproject.org/files/ENCFF901AHW/@@download/ENCFF901AHW.bed.gz	hg19			released	NA	borderline replicate concordance, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF002CWI	bed narrowPeak	optimal idr thresholded peaks	ENCSR000FAG	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MYC-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA		NA	NA	NA		NA			100566	ENCODE Consortium Analysis Working Group	dc7b2f11aa6ce545fdba1c08dc21c233		https://www.encodeproject.org/files/ENCFF002CWI/@@download/ENCFF002CWI.bed.gz	hg19			released	NA		biological replicates with identical biosample, missing derived_from	insufficient read length	
ENCFF340PPI	bed narrowPeak	optimal idr thresholded peaks	ENCSR695EQB	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZNF24-human	DNA					False	2017-01-27	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF309SZA, ENCFF720BVJ, ENCFF924XOY	530134	ENCODE Processing Pipeline	9a398398d2c9211d4896d977bf907b72		https://www.encodeproject.org/files/ENCFF340PPI/@@download/ENCFF340PPI.bed.gz	hg19			released	NA	antibody characterized with exemption			
ENCFF646VQW	bed narrowPeak	optimal idr thresholded peaks	ENCSR907MZR	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TRIM24-human	DNA					False	2016-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF127MAS, ENCFF816EGL, ENCFF856IOQ	621283	ENCODE Processing Pipeline	74f7c15fa48b8b2fb599b23015bb2563		https://www.encodeproject.org/files/ENCFF646VQW/@@download/ENCFF646VQW.bed.gz	hg19			released	NA				
ENCFF502KHR	bed narrowPeak	optimal idr thresholded peaks	ENCSR638QHV	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ELF4-human	DNA					False	2017-01-31	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF307JUJ, ENCFF625PVR, ENCFF734SUP	329872	ENCODE Processing Pipeline	c2e187f6d861df3100e2acf5d12e3e45		https://www.encodeproject.org/files/ENCFF502KHR/@@download/ENCFF502KHR.bed.gz	hg19			released	NA	antibody characterized with exemption, low read depth, moderate library complexity, mild to moderate bottlenecking			
ENCFF235ZZP	bed narrowPeak	optimal idr thresholded peaks	ENCSR115BBC	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ASH1L-human	DNA					False	2018-01-26	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF216JOG, ENCFF505CXS, ENCFF756HQJ	129016	ENCODE Processing Pipeline	d8ef3cc4d24c5415e9a82592ed82fb4d		https://www.encodeproject.org/files/ENCFF235ZZP/@@download/ENCFF235ZZP.bed.gz	hg19			released	NA	low read depth, mild to moderate bottlenecking	experiment not submitted to GEO	partially characterized antibody	
ENCFF312RFN	bed narrowPeak	optimal idr thresholded peaks	ENCSR888XZK	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				TCF7L2-human	DNA					False	2016-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF060XZX, ENCFF274DVQ, ENCFF975NRI	34454	ENCODE Processing Pipeline	0d2abc09baae3bbab2319c87770d5ba6		https://www.encodeproject.org/files/ENCFF312RFN/@@download/ENCFF312RFN.bed.gz	hg19			released	NA	low read depth, moderate library complexity, low read length, mild to moderate bottlenecking			
ENCFF163VUK	bed narrowPeak	optimal idr thresholded peaks	ENCSR882ERE	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				ZKSCAN1-human	DNA					False	2016-03-02	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF040DGA, ENCFF511MUZ, ENCFF656CUX	217692	ENCODE Processing Pipeline	c743b22b355085c49a0ee67adfa8f5f2		https://www.encodeproject.org/files/ENCFF163VUK/@@download/ENCFF163VUK.bed.gz	hg19			released	NA	low read depth, low read length			
ENCFF772HOY	bed narrowPeak	optimal idr thresholded peaks	ENCSR596IKD	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ETS2-human	DNA					False	2016-08-24	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF331IWR, ENCFF804AYO, ENCFF982UOO	34602	ENCODE Processing Pipeline	8faf266dc68894e370a91f3389c162da		https://www.encodeproject.org/files/ENCFF772HOY/@@download/ENCFF772HOY.bed.gz	hg19			released	NA	missing genetic modification characterization, moderate library complexity, mild to moderate bottlenecking	experiment not submitted to GEO	poor library complexity, severe bottlenecking	
ENCFF970LCB	bed narrowPeak	optimal idr thresholded peaks	ENCSR000EGZ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				MXI1-human	DNA		see document	see document		False	2011-10-29	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF400DMX, ENCFF408TRC, ENCFF492QMD	161913	ENCODE Processing Pipeline	5fde622a545fc7d9f4edabddd920274c		https://www.encodeproject.org/files/ENCFF970LCB/@@download/ENCFF970LCB.bed.gz	hg19			released	NA	inconsistent target of control experiment, low read depth, low read length, mild to moderate bottlenecking	biological replicates with identical biosample		
ENCFF643TEZ	bed narrowPeak	optimal idr thresholded peaks	ENCSR121PFY	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				CDC5L-human	DNA					False	2016-07-28	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF108JTM, ENCFF361EMP, ENCFF830THH	110168	ENCODE Processing Pipeline	88bb8380a704122b98e88220e68c0d21		https://www.encodeproject.org/files/ENCFF643TEZ/@@download/ENCFF643TEZ.bed.gz	hg19			released	NA				
ENCFF452SPE	bed narrowPeak	optimal idr thresholded peaks	ENCSR847LBF	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-FOXJ2-human	DNA					False	2016-06-13	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF521WEX, ENCFF629GGT, ENCFF639WQU	235803	ENCODE Processing Pipeline	7c83d0cc8201d650834cf642030fa17c		https://www.encodeproject.org/files/ENCFF452SPE/@@download/ENCFF452SPE.bed.gz	hg19			released	NA	control low read depth, low read depth, missing genetic modification characterization			
ENCFF232KAH	bed narrowPeak	optimal idr thresholded peaks	ENCSR091GVJ	ChIP-seq	EFO:0002067	K562	cell line	Homo sapiens				eGFP-ATF1-human	DNA					False	2016-01-14	ENCODE	NA	NA	NA	1, 2	NA	NA	NA		NA		ENCFF001TDO, ENCFF077HXE, ENCFF234YBT, ENCFF621JGB	847500	ENCODE Processing Pipeline	c7510df2956ffb6634c5f8adaa79d8ec		https://www.encodeproject.org/files/ENCFF232KAH/@@download/ENCFF232KAH.bed.gz	hg19			released	NA	missing genetic modification characterization			
